nome_aeroporto,icao_aerodromo,icao_empresa_aerea,razao_social,rotas_saida,rotas_chegada,total_pousos_decolagens
Frankfurt Airport,EDDF,DLH,,3,3,706
Mário Pereira Lopes Airport,SDSC,LAN,,2,2,5
Mário Pereira Lopes Airport,SDSC,LPE,,1,2,5
Teixeira de Freitas Airport (9 de maio Airport),SNTF,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,506
Cataratas del Iguazú International Airport,SARI,AJB,,1,1,2
Francisco de Sá Carneiro Airport,LPPR,TAP,,5,6,173
Mayor Buenaventura Vivas Airport,SVSO,ETR,,1,1,4
George Bush Intercontinental Airport,KIAH,UAL,,3,2,856
Senador Nilo Coelho Airport,SBPL,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,4,3,1459
Tefé Airport,SBTF,PAM,MAP TRANSPORTES AÉREOS LTDA.,2,2,516
O'Hare International Airport,KORD,UAL,,1,1,405
Alberto Alcolumbre International Airport,SBMQ,GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),2,2,1327
Araguaína Airport,SWGN,PTB,PASSAREDO TRANSPORTES AÉREOS S.A.,1,1,395
East Midlands Airport,EGNX,CLX,,1,1,2
Montréal–Pierre Elliott Trudeau International Airport,CYUL,ACA,,1,1,18
Afonso Pena International Airport,SBCT,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,18,16,12352
Silvio Pettirossi International Airport,SGAS,LAP,,5,5,410
São Félix do Araguaia Airport,SWFX,OWT,,3,3,217
